Timestamp,Base_Case,Robust_ZScore,Robust_MPI,Robust_Weights
2023-01-31,33.15129818992233,32.83958065946597,84.20234989621136,27.149344722299823
2023-02-28,6.123215783364063,6.073409390358233,11.034601677717731,6.225143274377988
2023-03-31,38.7666492923852,38.09628300065436,80.49351796920791,45.92498456617495
2023-04-30,10.896241762374986,11.02102741275147,27.47615557311546,10.540771270490376
2023-05-31,6.634830404127415,6.715988095512626,12.90783430938183,6.916622990916282
2023-06-30,47.38481445268981,47.41328747505065,86.48685038421539,53.54584691448789
2023-07-31,50.49151151508017,50.25216219087443,92.58482555223631,57.49270731456835
2023-08-31,20.576660566877614,20.810671740353854,35.12339353535655,20.20887555950989
2023-09-30,12.060800794161981,12.205194257695856,24.278893512712294,12.500170333336579
2023-10-31,20.164060368477912,19.744704440809684,41.6198550018272,19.982991074625758
2023-11-30,16.37280371034956,16.300623007967193,36.4649599693438,15.264944752079913
2023-12-31,52.43218715605964,52.02749890257998,98.45161561762595,47.04123518093825
2024-01-31,48.68902669877653,48.11999574279514,94.05041989867394,43.92246498414575
2024-02-29,28.312124257250886,28.05599919065517,40.29528970883036,27.71919678869466
2024-03-31,64.3932257676167,64.16365910473377,100.14195708490513,70.69282484605681
2024-04-30,26.483807120361654,26.43677899150382,46.675429954609335,26.528639002041096
2024-05-31,33.7526203711887,33.52446037186752,50.364609988675866,34.161112303885744
2024-06-30,65.6072696623481,64.99740440198171,102.39985574011538,71.28703612731971
2024-07-31,65.82783787438605,65.57502814138124,101.94244564810343,71.73407005957661
2024-08-31,35.00456846693323,34.966477898748074,51.22784241940399,34.18553971537555
2024-09-30,35.88346432637405,35.49661575192127,42.74915522012362,36.76050290969271
2024-10-31,44.476235741392586,43.89618722077386,62.25509800139012,43.824911762557704
2024-11-30,42.679548496677086,42.33919345812013,57.48647172697362,42.22429294570786
2024-12-31,71.53175415201855,71.25694820247021,106.20824263278956,65.83810498242225
