Timestamp,Composite_Index
2024-01-31,33.15129818992233
2024-02-29,6.123215783364063
2024-03-31,38.7666492923852
2024-04-30,10.896241762374986
2024-05-31,6.634830404127415
2024-06-30,47.38481445268981
2024-07-31,50.49151151508017
2024-08-31,20.576660566877614
2024-09-30,12.060800794161981
2024-10-31,20.164060368477912
2024-11-30,16.37280371034956
2024-12-31,52.43218715605964
2025-01-31,48.68902669877653
2025-02-28,28.312124257250886
2025-03-31,64.3932257676167
2025-04-30,26.483807120361654
2025-05-31,33.7526203711887
2025-06-30,65.6072696623481
2025-07-31,65.82783787438605
2025-08-31,35.00456846693323
2025-09-30,35.88346432637405
2025-10-31,44.476235741392586
2025-11-30,42.679548496677086
2025-12-31,71.53175415201855
