Timestamp,Variable,Raw_Value,Norm_Value_min-max
2023-12-31,job_search_校招,4100,27.858546168958743
2024-01-31,job_search_校招,4271,34.577603143418465
2024-02-29,job_search_校招,3931,21.218074656188605
2024-03-31,job_search_校招,5309,75.36345776031435
2024-04-30,job_search_校招,3906,20.23575638506876
2024-05-31,job_search_校招,4940,60.86444007858546
2024-06-30,job_search_校招,5230,72.25933202357564
2024-07-31,job_search_校招,5403,79.05697445972496
2024-08-31,job_search_校招,3802,16.149312377210215
2024-09-30,job_search_校招,4562,46.011787819253435
2024-10-31,job_search_校招,4873,58.23182711198428
2024-11-30,job_search_校招,4318,36.424361493123776
2024-12-31,job_search_校招,5108,67.4656188605108
2023-01-31,job_search_春招,4009,0.0
2023-02-28,job_search_春招,4343,9.760374050263005
2023-03-31,job_search_春招,5328,38.54471069549971
2023-04-30,job_search_春招,4217,6.078316773816481
2023-05-31,job_search_春招,4925,26.767971946230272
2023-06-30,job_search_春招,6074,60.3448275862069
2023-07-31,job_search_春招,6664,77.58620689655173
2023-08-31,job_search_春招,5650,47.95441262419637
2023-09-30,job_search_春招,4542,15.575686732904733
2023-10-31,job_search_春招,4970,28.082992402104033
2023-11-30,job_search_春招,4170,4.704850964348335
2023-12-31,job_search_春招,5320,38.31092928112215
2024-01-31,job_search_春招,5357,39.39216832261835
2024-02-29,job_search_春招,4684,19.72530683810637
2024-03-31,job_search_春招,6374,69.11163062536528
2024-04-30,job_search_春招,4859,24.83927527761543
2024-05-31,job_search_春招,4535,15.371127995324372
2024-06-30,job_search_春招,7165,92.22676797194623
2024-07-31,job_search_春招,7431,100.0
2024-08-31,job_search_春招,5264,36.67445938047925
2024-09-30,job_search_春招,4441,12.624196376388078
2024-10-31,job_search_春招,6002,58.24079485680889
2024-11-30,job_search_春招,5542,44.79836353009936
2024-12-31,job_search_春招,5470,42.694330800701344
2023-01-31,job_search_秋招,2588,0.0
2023-02-28,job_search_秋招,2821,10.286975717439294
2023-03-31,job_search_秋招,3924,58.98454746136865
2023-04-30,job_search_秋招,3145,24.591611479028696
2023-05-31,job_search_秋招,2743,6.843267108167771
2023-06-30,job_search_秋招,3930,59.249448123620304
2023-07-31,job_search_秋招,4853,100.0
2023-08-31,job_search_秋招,3007,18.49889624724062
2023-09-30,job_search_秋招,3039,19.911699779249446
2023-10-31,job_search_秋招,3494,40.0
2023-11-30,job_search_秋招,2965,16.64459161147903
2023-12-31,job_search_秋招,3637,46.31346578366446
2024-01-31,job_search_秋招,3095,22.3841059602649
2024-02-29,job_search_秋招,3893,57.615894039735096
2024-03-31,job_search_秋招,4517,85.1655629139073
2024-04-30,job_search_秋招,3519,41.1037527593819
2024-05-31,job_search_秋招,3954,60.309050772626925
2024-06-30,job_search_秋招,4564,87.24061810154525
2024-07-31,job_search_秋招,4384,79.29359823399558
2024-08-31,job_search_秋招,3635,46.22516556291391
2024-09-30,job_search_秋招,3725,50.198675496688736
2024-10-31,job_search_秋招,3159,25.20971302428256
2024-11-30,job_search_秋招,3714,49.71302428256071
2024-12-31,job_search_秋招,3246,29.050772626931565
2023-01-31,job_search_面试,3590,5.571128241065171
2023-02-28,job_search_面试,3431,0.0
2023-03-31,job_search_面试,5654,77.89067974772249
2023-04-30,job_search_面试,4255,28.87175893482831
2023-05-31,job_search_面试,4185,26.419060967063768
2023-06-30,job_search_面试,6032,91.13524877365101
2023-07-31,job_search_面试,6086,93.02733006306939
2023-08-31,job_search_面试,4705,44.639103013314646
2023-09-30,job_search_面试,4553,39.313244569025926
2023-10-31,job_search_面试,3635,7.147862648913805
2023-11-30,job_search_面试,4040,21.338472319551506
2023-12-31,job_search_面试,4256,28.90679747722495
2024-01-31,job_search_面试,5111,58.864751226348986
2024-02-29,job_search_面试,4138,24.772249474421866
2024-03-31,job_search_面试,5912,86.93062368605466
2024-04-30,job_search_面试,4394,33.74211632796076
2024-05-31,job_search_面试,4797,47.86264891380518
2024-06-30,job_search_面试,6013,90.46951646811493
2024-07-31,job_search_面试,6285,100.0
2024-08-31,job_search_面试,4071,22.42466713384723
2024-09-30,job_search_面试,4693,44.21864050455501
2024-10-31,job_search_面试,5156,60.44148563419762
2024-11-30,job_search_面试,4951,53.258584442887184
2024-12-31,job_search_面试,4669,43.377715487035736
2023-01-31,job_search_简历,4203,23.60497792051385
2023-02-28,job_search_简历,4164,22.039341629867522
2023-03-31,job_search_简历,5246,65.47571256523484
2023-04-30,job_search_简历,4523,36.451224407868324
2023-05-31,job_search_简历,4383,30.830991569650745
2023-06-30,job_search_简历,5985,95.14251304696909
2023-07-31,job_search_简历,5739,85.26696105981534
2023-08-31,job_search_简历,3615,0.0
2023-09-30,job_search_简历,4602,39.62264150943396
2023-10-31,job_search_简历,4704,43.7173825772782
2023-11-30,job_search_简历,3988,14.97390606182256
2023-12-31,job_search_简历,4201,23.524688879967883
2024-01-31,job_search_简历,4441,33.15937374548374
2024-02-29,job_search_简历,4387,30.991569650742672
2024-03-31,job_search_简历,6046,97.59132878362104
2024-04-30,job_search_简历,4299,27.45885186672019
2024-05-31,job_search_简历,4706,43.79767161782417
2024-06-30,job_search_简历,6106,100.0
2024-07-31,job_search_简历,6053,97.87234042553192
2024-08-31,job_search_简历,4787,47.049377759935766
2024-09-30,job_search_简历,4211,23.92613408269771
2024-10-31,job_search_简历,5042,57.28623042954637
2024-11-30,job_search_简历,4668,42.27217984745082
2024-12-31,job_search_简历,4800,47.57125652348454
2023-01-31,emp_difficulty_就业难,1655,7.687028140013727
2023-02-28,emp_difficulty_就业难,1608,4.461221688400824
2023-03-31,emp_difficulty_就业难,2340,54.70144131777626
2023-04-30,emp_difficulty_就业难,1543,0.0
2023-05-31,emp_difficulty_就业难,1760,14.893617021276595
2023-06-30,emp_difficulty_就业难,2470,63.6238846945779
2023-07-31,emp_difficulty_就业难,2504,65.95744680851064
2023-08-31,emp_difficulty_就业难,1900,24.502402196293755
2023-09-30,emp_difficulty_就业难,1584,2.8140013726835966
2023-10-31,emp_difficulty_就业难,1981,30.061770761839394
2023-11-30,emp_difficulty_就业难,2013,32.25806451612903
2023-12-31,emp_difficulty_就业难,1897,24.296499656829102
2024-01-31,emp_difficulty_就业难,2043,34.317089910775564
2024-02-29,emp_difficulty_就业难,1944,27.522306108442002
2024-03-31,emp_difficulty_就业难,3000,100.0
2024-04-30,emp_difficulty_就业难,2178,43.582704186684964
2024-05-31,emp_difficulty_就业难,2148,41.52367879203844
2024-06-30,emp_difficulty_就业难,2487,64.79066575154427
2024-07-31,emp_difficulty_就业难,2745,82.49828414550447
2024-08-31,emp_difficulty_就业难,2176,43.44543582704187
2024-09-30,emp_difficulty_就业难,2236,47.563486616334934
2024-10-31,emp_difficulty_就业难,2074,36.44474948524365
2024-11-30,emp_difficulty_就业难,2455,62.594371997254626
2024-12-31,emp_difficulty_就业难,2198,44.95538778311599
2023-01-31,emp_difficulty_找工作难,1933,17.848101265822784
2023-02-28,emp_difficulty_找工作难,1755,6.582278481012659
2023-03-31,emp_difficulty_找工作难,2731,68.35443037974683
2023-04-30,emp_difficulty_找工作难,1963,19.746835443037973
