Timestamp,Variable,Raw_Value,Norm_Value_z-score
2023-05-31,job_search_校招,3767,-0.9143270276822851
2023-06-30,job_search_校招,5164,1.0119992626364072
2023-07-31,job_search_校招,5936,2.0765117151246177
2023-08-31,job_search_校招,3913,-0.7130073151650846
2023-09-30,job_search_校招,3999,-0.5944217310796104
2023-10-31,job_search_校招,3840,-0.8136671714236848
2023-11-30,job_search_校招,3824,-0.8357296056721452
2023-12-31,job_search_校招,4100,-0.45515261488620457
2024-01-31,job_search_校招,4271,-0.21936034885578481
2024-02-29,job_search_校招,3931,-0.6881870766355668
2024-03-31,job_search_校招,5309,1.211940073013079
2024-04-30,job_search_校招,3906,-0.722659630148786
2024-05-31,job_search_校招,4940,0.7031251831579626
2024-06-30,job_search_校招,5230,1.103006803911306
2024-07-31,job_search_校招,5403,1.3415568742227832
2024-08-31,job_search_校招,3802,-0.8660654527637781
2024-09-30,job_search_校招,4562,0.18190017403808736
2024-10-31,job_search_校招,4873,0.610738739742535
2024-11-30,job_search_校招,4318,-0.1545519482509326
2024-12-31,job_search_校招,5108,0.934780742766796
2023-01-31,job_search_春招,4009,-1.3872772548587486
2023-02-28,job_search_春招,4343,-1.0299374581059295
2023-03-31,job_search_春招,5328,0.02389397842558737
2023-04-30,job_search_春招,4217,-1.164742291611484
2023-05-31,job_search_春招,4925,-0.4072675128659876
2023-06-30,job_search_春招,6074,0.8220241831489494
2023-07-31,job_search_春招,6664,1.4532531654368632
2023-08-31,job_search_春招,5650,0.3683952196064488
2023-09-30,job_search_春招,4542,-0.8170314115376333
2023-10-31,job_search_春招,4970,-0.3591229294711467
2023-11-30,job_search_春招,4170,-1.2150266342683178
2023-12-31,job_search_春招,5320,0.015334941377615659
2024-01-31,job_search_春招,5357,0.05492048772448482
2024-02-29,job_search_春招,4684,-0.6651085039361354
2024-03-31,job_search_春招,6374,1.1429880724478887
2024-04-30,job_search_春招,4859,-0.4778795685117542
2024-05-31,job_search_春招,4535,-0.8245205689546086
2024-06-30,job_search_春招,7165,1.9892628605660916
2024-07-31,job_search_春招,7431,2.273850842411151
2024-08-31,job_search_春招,5264,-0.04457831795818632
2024-09-30,job_search_春招,4441,-0.9250892542682762
2024-10-31,job_search_春招,6002,0.744992849717204
2024-11-30,job_search_春招,5542,0.2528482194588306
2024-12-31,job_search_春招,5470,0.17581688602708526
2023-01-31,job_search_秋招,2588,-1.5956782346989233
2023-02-28,job_search_秋招,2821,-1.2149865375942526
2023-03-31,job_search_秋招,3924,0.5871720113604767
2023-04-30,job_search_秋招,3145,-0.685612675525955
2023-05-31,job_search_秋招,2743,-1.3424283932773613
2023-06-30,job_search_秋招,3930,0.5969752310284082
2023-07-31,job_search_秋招,4853,2.1050371899451945
2023-08-31,job_search_秋招,3007,-0.911086727888378
2023-09-30,job_search_秋招,3039,-0.8588028896594103
2023-10-31,job_search_秋招,3494,-0.1153920648412763
2023-11-30,job_search_秋招,2965,-0.979709265563898
2023-12-31,job_search_秋招,3637,0.11825133724442297
2024-01-31,job_search_秋招,3095,-0.7673061727587169
2024-02-29,job_search_秋招,3893,0.5365220430761644
2024-03-31,job_search_秋招,4517,1.556056888541034
2024-04-30,job_search_秋招,3519,-0.07454531622489531
2024-05-31,job_search_秋招,3954,0.636188109700134
2024-06-30,job_search_秋招,4564,1.63284877593983
2024-07-31,job_search_秋招,4384,1.338752185901887
2024-08-31,job_search_秋招,3635,0.11498359735511249
2024-09-30,job_search_秋招,3725,0.2620318923740841
2024-10-31,job_search_秋招,3159,-0.6627384963007816
2024-11-30,job_search_秋招,3714,0.24405932298287641
2024-12-31,job_search_秋招,3246,-0.5205918111157757
2023-01-31,job_search_面试,3590,-1.3986728220424156
2023-02-28,job_search_面试,3431,-1.5862636939991799
